County name,Q4-1995,Q1-1996,Q2-1996,Q3-1996,Q4-1996,Q1-1997,Q2-1997,Q3-1997,Q4-1997,Q1-1998,Q2-1998,Q3-1998,Q4-1998,Q1-1999,Q2-1999,Q3-1999,Q4-1999,Q1-2000,Q2-2000,Q3-2000,Q4-2000,Q1-2001,Q2-2001,Q3-2001,Q4-2001,Q1-2002,Q2-2002,Q3-2002,Q4-2002,Q1-2003,Q2-2003,Q3-2003,Q4-2003,Q1-2004,Q2-2004,Q3-2004,Q4-2004,Q1-2005,Q2-2005,Q3-2005,Q4-2005,Q1-2006,Q2-2006,Q3-2006,Q4-2006,Q1-2007,Q2-2007,Q3-2007,Q4-2007,Q1-2008,Q2-2008,Q3-2008,Q4-2008,Q1-2009,Q2-2009,Q3-2009,Q4-2009,Q1-2010,Q2-2010,Q3-2010,Q4-2010,Q1-2011,Q2-2011,Q3-2011,Q4-2011,Q1-2012,Q2-2012,Q3-2012,Q4-2012,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buckinghamshire,"110,569","110,325","110,977","111,701","112,481","114,863","117,621","121,164","125,544","128,321","133,672","138,105","142,138","145,707","149,629","154,822","158,900","162,581","168,664","176,694","185,479","190,596","196,285","201,287","203,326","205,495","210,841","219,328","229,792","237,497","245,706","253,734","255,891","258,917","262,877","271,300","279,034","283,751","289,131","288,423","290,722","293,555","296,847","305,691","311,420","315,756","324,121","333,607","344,821","351,296","358,707","360,859","356,628","348,642","333,439","325,472","322,268","332,900","342,803","353,770","363,448","361,752","360,882","360,832","357,654","354,163","355,381","358,367","359,649","362,675","365,412","362,481","368,135","375,019","375,893","387,811","395,312","395,639","404,365","408,336","417,276","426,954","430,984","440,359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,"71,839","71,925","72,266","72,902","73,340","74,158","75,852","78,188","80,765","82,626","84,014","86,140","87,823","89,216","91,868","94,788","96,963","99,549","103,086","107,672","112,952","116,005","119,457","124,157","127,817","130,979","135,707","142,324","148,661","153,355","160,234","167,483","172,593","175,574","179,629","183,181","186,955","191,428","194,921","198,720","200,744","201,456","204,414","208,544","212,491","215,876","218,986","223,764","227,966","231,407","234,970","234,417","229,365","223,146","217,357","217,125","217,472","223,599","227,801","232,800","239,842","238,553","238,898","236,710","235,795","233,138","233,788","235,401","237,057","243,815","245,151","249,276","252,118","253,084","258,876","264,325","271,006","277,523","281,613","290,858","299,264","303,477","307,651","306,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumbria,"53,922","53,937","53,902","54,631","55,692","56,033","57,311","58,939","59,515","60,447","61,628","61,951","63,234","63,545","64,384","65,749","65,976","66,909","67,732","69,196","71,470","72,840","74,673","76,620","77,922","79,500","81,533","84,505","88,406","91,448","96,215","101,856","107,033","111,620","117,993","124,360","130,891","134,110","138,821","143,109","145,985","147,955","149,853","153,630","157,343","159,742","163,080","165,715","168,374","171,308","173,731","173,898","173,805","170,783","165,405","163,738","166,334","167,929","171,308","173,127","171,282","171,408","168,811","164,974","162,295","161,235","161,556","162,750","164,569","163,827","162,786","165,790","165,664","168,239","170,091","170,579","172,154","171,721","172,816","173,591","175,299","178,422","177,902","178,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbyshire,"53,654","53,728","54,196","55,409","56,012","56,560","57,580","58,818","59,843","60,500","61,143","61,674","62,691","63,320","64,605","66,086","67,400","68,222","68,923","70,082","71,520","72,473","74,919","76,987","78,665","80,837","83,522","88,355","93,303","97,472","103,502","109,589","116,855","121,135","127,128","133,931","138,885","143,222","146,328","147,570","149,462","150,025","152,917","155,393","157,755","160,697","162,900","165,306","167,294","167,301","167,066","166,098","161,733","159,450","155,989","155,116","158,090","159,161","161,217","162,690","163,999","163,834","161,945","158,862","156,718","157,470","158,870","161,255","161,633","160,912","159,961","161,612","162,519","164,222","166,910","168,712","170,749","172,188","175,819","176,960","180,898","182,636","182,490","184,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon,"66,493","66,504","66,491","67,260","68,004","68,654","70,018","71,837","73,211","74,524","76,083","77,678","78,589","79,538","81,446","83,997","87,491","90,265","93,815","98,024","101,795","103,764","107,733","113,040","117,198","122,008","128,654","137,175","146,065","154,000","161,618","169,770","175,928","180,314","186,861","195,235","203,373","207,752","211,234","211,521","211,134","211,431","214,151","218,419","223,013","226,582","231,376","237,926","242,538","244,794","245,971","242,914","238,062","233,529","228,265","223,787","224,760","229,631","232,994","237,507","240,680","239,525","238,750","236,749","234,116","230,986","232,210","232,697","234,288","235,428","233,850","235,336","236,159","237,270","241,165","245,347","249,462","252,801","255,488","257,470","259,104","260,481","260,390","262,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorset,"75,084","75,190","75,313","76,299","78,475","80,120","82,421","85,105","87,871","88,991","91,131","93,708","95,108","96,980","99,804","104,201","108,090","111,400","115,758","122,038","127,378","129,858","135,511","139,143","141,923","145,843","151,910","161,025","170,522","177,869","185,328","191,996","199,531","203,710","209,120","217,040","221,941","226,136","228,567","227,637","227,125","227,096","231,143","235,406","241,180","246,283","250,872","258,075","264,112","267,315","270,377","267,705","262,277","255,334","245,670","241,750","238,869","244,022","251,183","258,233","263,886","262,541","262,023","260,250","260,508","260,090","261,082","261,926","261,964","263,366","262,256","264,076","265,177","265,969","268,243","271,917","276,299","279,315","283,028","287,199","291,631","295,524","298,505","301,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Sussex,"70,789","70,793","70,337","72,107","73,158","73,934","76,063","77,285","79,534","81,728","83,543","86,852","87,863","89,118","91,476","93,798","97,228","99,857","103,539","108,878","113,385","116,632","119,794","123,308","126,250","128,678","134,203","143,559","152,084","158,364","166,302","171,479","177,053","182,189","185,942","191,680","194,715","197,756","200,456","202,369","204,244","204,039","207,689","211,056","214,945","218,471","222,056","227,207","233,072","237,549","240,805","241,775","237,503","234,176","225,965","225,750","226,062","228,885","235,209","239,861","248,012","248,044","246,968","243,361","238,665","237,435","239,797","243,100","245,859","248,299","247,233","245,857","245,949","248,564","251,609","258,456","262,835","264,237","266,640","268,302","273,047","278,050","282,211","288,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essex,"72,574","72,196","72,621","73,790","75,005","76,577","78,078","79,661","81,245","82,444","85,086","87,594","90,049","91,112","92,827","96,342","99,697","102,844","106,886","111,241","115,775","118,384","123,217","128,067","131,633","135,864","141,207","150,100","159,529","166,966","174,371","179,945","184,328","187,071","191,347","197,078","202,271","205,802","209,109","210,946","211,343","212,992","215,530","219,442","223,526","226,866","230,346","235,135","238,162","240,664","242,855","240,629","236,669","230,353","222,133","220,834","223,712","229,545","235,691","242,332","247,041","247,173","246,455","244,017","243,528","241,218","242,810","243,515","244,742","246,627","246,394","249,759","251,848","255,569","258,618","263,405","268,608","273,033","279,039","286,695","294,273","300,933","307,967","314,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloucestershire,"70,819","70,301","70,932","71,826","72,639","73,908","75,408","77,502","79,676","81,214","83,403","85,065","86,015","87,671","89,151","92,368","95,997","98,492","102,467","107,191","111,536","114,512","118,781","123,580","125,619","128,552","133,333","139,303","148,117","153,734","161,383","167,773","172,341","176,949","181,445","187,439","192,884","196,695","199,580","201,144","202,018","202,819","205,035","208,019","211,704","214,974","219,897","225,615","230,541","231,478","232,246","229,283","223,459","220,056","213,370","212,149","212,550","217,000","222,758","229,143","236,034","237,750","235,704","233,063","230,916","229,398","231,781","232,794","230,977","231,158","229,128","231,527","234,413","235,311","239,064","242,384","245,815","249,166","252,281","254,636","259,733","260,924","264,944","268,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampshire,"81,919","82,171","83,502","84,623","85,474","86,596","87,962","90,203","92,919","95,473","98,692","102,310","104,813","106,733","109,287","113,070","117,335","121,123","127,078","134,253","141,096","144,664","149,269","152,543","155,780","158,550","164,314","173,152","181,230","187,792","193,938","200,424","204,185","207,392","211,099","216,744","222,501","225,070","229,539","229,949","230,044","231,370","233,433","237,692","241,252","244,270","248,714","255,267","261,203","264,859","267,189","264,630","259,373","254,424","245,985","244,163","245,839","250,561","256,934","262,315","267,573","268,042","270,138","268,509","268,273","265,814","266,478","268,276","269,979","271,417","271,419","271,944","274,769","277,656","281,044","287,358","292,399","296,242","302,370","307,673","312,075","316,597","321,120","325,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
